,question,a,b,c,d,answer
79,*What is the capital city of the Cote d'Ivoire? ,A) Accra ,B) Ouagadougou ,C) Yamoussoukou ,D) Abidjan ,c
80,*What does the postage stamp cancellation O.H.M.S. mean? ,A) Overseas Hygiene and Manicuring Salon ,B) Ontario Hospital Medical Service ,C) On (His/Her) Majesty's Service ,D) Onboard Hydraulic Maintenance Syste ,c
81,*Of all the planets - which is the largest? ,A) Mercury ,B) Jupiter ,C) Saturn ,D) Earth ,b
82,*What is the dry ingredient in a roux? ,A) flour ,B) salt ,C) corn starch ,D) baking powder ,a
83,*What is the square root of -1 ,A) Undefined ,B) 1 ,C) 0 ,D) -1 ,a
84,*What U.S. city's State Capitol is located 5280 ft. above sea level? ,A) Denver ,B) Dallas ,C) Lincoln ,D) St. Louis ,a
85,"*What was the crime committed for those dwelling in Dante's lowest level of hell in his work, 'The Inferno'? ",A) betrayal ,B) paganism ,C) murder ,D) murder ,a
86,*What was the last animal to be tamed as a food source? ,A) chicken ,B) cow ,C) crow ,D) pig ,b
87,*Where is Arthur C. Clarke presently residing? (as of 1999) ,A) Spain ,B) Argentina ,C) Sri Lanka ,D) Ceylon  ,c
88,*When was the constitution fully ratified? ,A) 1787 ,B) 1776 ,C) 1784 ,D) 1785 ,a
89,*What is a nautical knot (international)? ,A) The opposite of yup. ,B) 1.1508 statute miles/hour ,C) A hole in a wooden fence. ,D) Something you tie with a rope. ,b
90,*In what famous sci fi flick did an Einstein like scientist say to a space alien 'sit down. I have several thousand questions I'd like to ask you? ,A) indepedence day ,B) day the earth stood still ,C) enemy mine ,D) star wars  ,b
91,*What animal has the largest penis size in proportion to its body size? ,A) flea ,B) human ,C) zebra ,D) chihuahua ,a
92,*How many 'joeys' can a female kangaroo have in her pouch at one time? ,A) three ,B) four ,C) one ,D) two ,a
93,*In which Dr. Seuss book did the word 'nerd' first appear? ,A) The 500 Hats of Bartholomew Cubbins ,B) Horton Hears a Who! ,C) If I Ran the Zoo ,D) The Cat in the Hat Comes Back ,c
94,*In what US state was the Phillips head screwdriver invented? ,A) california ,B) South Dakota ,C) oregon ,D) utah ,c
95,*On what day was Mother Teresa awarded the nobel peace prize? ,"A) August 14, 1984 ","B) September 3, 1972 ","C) July 5, 1980 ","D) October 17, 1979 ",d
96,*How many sheets of paper are in a ream? (Number) ,A) 10 ,B) 20000 ,C) 1000 ,D) 500 ,d
97,*Who set the train speed record of 552 kph on april 14 1999(nationality)? ,A) cubans ,B) chinese ,C) americans ,D) japanese ,d
98,"*In Disney comics, who are Daisy Duck's three nieces? ","A) Minnie, Meeney & Miney ","B) Hughette, Lewette & Duet ","C) Deane, Debbie & Dorrie ","D) April, May and June ",d
99,*The word 'poltergeist' comes from what language? ,A) English ,B) Swedish ,C) French ,D) German,d
100,"*In the movie 'Shaft', what was Shaft's first name? ",A) Bill ,B) John ,C) James ,D) Jim ,b
101,"*In the movie Tommy Boy, who played Richard? ",A) David Spade ,B) Brian Dennehy ,C) Chris Farley ,D) Bo Derek ,a
102,*What sense does a dying person lose first? ,A) Smell ,B) Sight ,C) Hearing ,D) Taste ,b
103,*What is Bogyphobia? ,A) fear of bogies or the bogeyman ,B) fear of depth ,C) fear of the inability to stand ,D) fear of slime ,a
104,"*Who was Johnny Carson's first guest on 'The Tonight Show' on October 1st, 1962? ",A) Jack Parr ,B) Joan Rivers ,C) Joan Crawford ,D) Steve Allen ,c
105,*Jane Asher's (Paul McCartney's 60's girlfriend) brother was in what early 60's group? ,A) Gerry and the Pacemakers ,B) Peter & Gordon ,C) The Dave Clark Five ,D) Freddy and the Dreamers ,b
106,*Who was the only person to appear on both 'Kids in the Hall' and 'Saturday Night Live?' ,A) Dave Foley ,B) Mark McDonald ,C) Kevin McDonald ,D) Mark McKinney ,d
107,*What is a Belted Galloway? ,A) a breed of cow ,B) a WW1 fighter plane ,C) an exotic bird ,D) a scenic mountain range ,a
108,*Who directed all James Bond films up to the recent 'The World is not enough'? ,A) Ian Fleming ,B) Peter Brocolli ,C) John Sprouts ,D) Charles Cabbage ,b
109,*Rennet is used to make... ,A) cheese ,B) wine ,C) pastry dough ,D) bread ,a
110,*What is the name of the theme song from M.A.S.H? ,A) The Surgeon's Song ,B) The Theme Song from M.A.S.H ,C) Working in Korea ,D) Suicide is Painless ,d
111,*Ford had a problem in Brazil when the Pinto wouldn't sell. Ford later found out Pinto was Brazilian slang for what? ,A) small male genitals ,B) ugly cow ,C) horse ,D) fornication ,a
112,"*Before the inventon of glass, the Egyptians produced objects made from a blue-glazed mixture of sand and soda fired just below melting point. Name this technique. ",A) enameling ,B) faience ,C) lead-cutting ,D) oxidized silica ,b
113,*What was Columbos' dogs name? ,A) Fido ,B) Sparky ,C) Dog  ,D) Snoopy ,c
114,"*Who discovered King Tut's tomb, and in what year was it discovered? ","A) Napoleon,1917 ","B) Lord Carnavoron,1922 ",C) Howard Carter in 1922 ,"D) Al smith , 1920 ",c
115,*What was used to signal advance into battle in World War I for the East Surrey Regiment? ,A) Red and green flag ,B) bagpipes ,C) a Man advancing dribbling a soccer ball ,D) dog barks ,c
116,*What year was the NBA formed? ,A) 1932 ,B) 1949 ,C) 1955 ,D) 1940 ,b
117,*In what year was the Louisiana Purchase ? ,A) 1803 ,B) 1814 ,C) 1812 ,D) 1783 ,a
118,"*At the battle of Antietam, who commanded the XII Corps for the Union side? ",A) Joseph Mansfield ,B) Edwin Sumner ,C) George McClellan ,D) William French ,a
119,*who was the most famous gorgon? ,A) medusa ,B) othello ,C) archer ,D) godzilla ,a
120,"*What was the name of the comic book character who couldn't talk, but replied to all by making sounds? ",A) Harold Bong Bong ,B) Jerry Ding Ding ,C) Gerald McBoing Boing ,D) Gerald Ding Dong ,c
121,*Kinsey Millhone is a recurring character in this author's series of novels. ,A) Sue Grafton ,B) Anne Tyler ,C) Agatha Christie ,D) David Payne ,a
122,*Which of the following numbers is Pi (the ratio of the circumference of a circle to its diameter) to the 30th digit? ,A) 3.14157348195983718483910471038 ,B) 3.14159265111184392981473828327 ,C) 3.14159265348148105748199384738 ,D) 3.14159265358979323846264338327 ,d
123,*What was the original color of the white house?  ,A) grey ,B) white ,C) white and red ,D) white and blue ,a
124,*What plant is least botanically related to Coffee? ,A) Morinda ,B) Sweet Woodruff ,C) Gardenia ,D) Cocoa ,d
125,*Who starred in the movie 'Highpoint'? ,A) Michael Ontkean ,B) Michael Jackson ,C) Richard Harris ,D) Patrick Swayze ,c
126,*The language spoken by the ancient Babylonians was which of the following? ,A) Acadian ,B) Sumerian ,C) Babylonian ,D) Mardukian ,a
127,*Which U.S. president entertained his friends by writing Latin with one hand and Greek with the other. ,A) Millard Fillmore ,B) Theodore Roosevelt ,C) James A. Garfield ,D) John F. Kennedy ,c
128,*Which Peanuts character plays the piano?  ,A) Woodstock ,B) Snoopy ,C) Sally ,D) Schroder ,d
129,"*Who is credited with coining the phrase, 'M'Kay?' ",A) Mike Judge ,B) Mr. Vandresen ,C) Mr. Mackey ,D) Matt Stone and Trey Parker ,b
130,*In which US city were the first electric traffic lights installed? ,"A) New York, NY ","B) Lincoln, NE ","C) San Francisco, CA ","D) Cleveland, OH ",d
131,*Name the person who was NEVER a Beatle. ,A) Pete Best ,B) Stuart Sutcliffe ,C) Mike Stoller ,D) George Harrison ,c
132,*It is the region where most of the electrons are apt to be found. ,A) NUCLEUS ,B) ORBITAL ,C) ATOM ,D) SHELL ,b
133,*Which is the most densely populated state? ,A) Rhode Island ,B) Massachusetts ,C) Maryland ,D) New Jersey ,d
134,*What did Roland Garros create in 1915? ,A) The parachute ,B) Tennis clay courts ,C) A miniature spy camera ,D) A fighter plane ,d
135,*What was Cyndi Laupers dog named? ,A) Yorker ,B) Punky ,C) Sparkle ,D) Joplin ,c
136,*Tube socks are normally worn with this kind of shoe ,A) Athletic shoes ,B) Dress shoes ,C) Sandals ,D) barefoor ,a
137,*What color is Flaxen hair ,A) Black ,B) Blonde ,C) brown ,D) red ,b
138,*To be considered cockney a person must be a native of what city? ,A) Ney York ,B) Paris ,C) London ,D) Dublin ,c
139,"*In 2001, the music producer Sean ""Puffy"" Combs changed his nickname to what? ",A) DJPuff ,B) P. Diddy ,C) Sean Conory ,D) Mr.Bigg ,b
140,*Paul Red Adair is famous for his pioneering work in what? ,A) Mountain Climbing ,B) Firefighting ,C) Deep-sea diving ,D) Racecar driving ,b
141,"*What is the common name for the garden flower whose botanical name is ""pelargonium""? ",A) Geranium ,B) Petunia ,C) Marigold ,D) Pansy ,a
